Title		Author		Status
Lord Of The Rings Trilogy		Tolkien		0
Hitchhiker's Guide To The Galaxy		AdamsD		0
Ender's Game		Card		0
Dune Chronicles		Herbert		1
Song Of Ice And Fire Series		Martin		1
1984		Orwell		1
Fahrenheit 451		Bradbury		0
Foundation Trilogy		Asimov		0
Brave New World		Huxley		0
American Gods		Gaiman		0
Princess Bride		Goldman		0
Wheel Of Time Series		Jordan		1
Animal Farm		Orwell		1
Neuromancer		Gibson		1
Watchmen		Moore		1
I Robot		Asimov		1
Stranger In A Strange Land		Heinlein		1
Kingkiller Chronicles		Rothfuss		1
Slaughterhouse-Five		Vonnegut		0
Frankenstein		Shelley		1
Do Androids Dream Of Electric Sheep?		Dick		0
Handmaid's Tale		Atwood		1
Dark Tower Series		King		1
2001: A Space Odyssey		ClarkeA		1
The Stand		King		0
Snow Crash		Stephenson		1
Martian Chronicles		Bradbury		0
Cat's Cradle		Vonnegut		0
Sandman		Gaiman		0
Clockwork Orange		Burgess		1
Starship Troopers		Heinlein		1
Watership Down		AdamsR		0
Dragonflight		McCaffrey		1
Moon Is A Harsh Mistress		Heinlein		0
Canticle For Leibowitz		Miller		0
Time Machine		Wells		0
20000 Leagues Under The Sea		Verne		1
Flowers For Algernon		Keys		0
War Of The Worlds		Wells		0
Chronicles Of Amber		Zelazny		1
Belgariad		Eddings		1
Mists Of Avalon		Bradley		1
Mistborn Series		Sanderson		1
Ringworld		Niven		1
Left Hand Of Darkness		LeGuin		1
Silmarillion		Tolkien		1
Once And Future King		White		0
Neverwhere		Gaiman		0
Childhood's End		ClarkeA		1
Contact		Sagan		1
Hyperion		Simmons		0
Stardust		Gaiman		1
Cryptonomicon		Stephenson		1
World War Z		Brooks		1
Last Unicorn		Beagle		1
Forever War		Haldeman		1
Small Gods		Pratchett		1
Chronicles Of Thomas Covenant The Unbeliever		Donaldson		0
Vorkosigan Saga		Bujold		1
Going Postal		Pratchett		1
Mote In God's Eye		Niven&Pournelle		1
Sword Of Truth		Goodkind		1
The Road		McCarthy		1
Jonathan Strange & Mr Norrell		ClarkeS		1
I Am Legend		Matheson		1
Riftwar Saga		Feist		1
Shannara Trilogy		Brooks		1
Conan The Barbarian Series		Howard		1
Farseer Trilogy		Hobb		1
Time Traveler's Wife		Niffenegger		0
Way Of Kings		Sanderson		1
Journey To The Center Of The Earth		Verne		1
Legend Of Drizzt Series		Salvatore		1
Old Man's War		Scalzi		0
Diamond Age		Stephenson		1
Rendezvous With Rama		ClarkeA		1
Kushiel's Legacy Series		Carey		1
Dispossessed		LeGuin		1
Something Wicked This Way Comes		Bradbury		0
Wicked		Maguire		0
Malazan Book Of The Fallen Series		Erikson		1
Eyre Affair		Fforde		0
Culture Series		Banks		1
Crystal Cave		Stewart		1
Anathem		Stephenson		1
Codex Alera Series		Butcher		1
Book Of The New Sun		Wolfe		1
Thrawn Trilogy		Zahn		1
Outlander Series		Gabaldan		1
Elric Saga		Moorcock		0
Illustrated Man		Bradbury		0
Sunshine		McKinley		1
Fire Upon The Deep		Vinge		1
Caves Of Steel		Asimov		1
Mars Trilogy		Robinson		0
Lucifer's Hammer		Niven&Pournelle		0
Doomsday Book		Willis		1
Perdido Street Station		Mieville		1
Xanth Series		Anthony		1
Space Trilogy		Lewis		1
Hunger Games Trilogy		Collins		0
Sparrow		Russell		0
Inherit The Stars		Hogan		0
Tripods Series		Christopher		0
Alas Babylon		Frank		0
Ready Player One		Cline		0
Pastwatch		Card		0
Hard-boiled Wonderland and the End of the World		Murakami		0
